id,source,target,length,foot,car_forward,car_backward,bike_forward,bike_backward,wkt
235833345,4255122810,1433558268,5.598594808072413,1,1,1,2,2,"LINESTRING(5.0637873 45.6301992, 5.0637810 45.6301491)"
235833346,2439079737,2439079740,125.93660043554931,1,1,1,2,2,"LINESTRING(5.0601256 45.6323198, 5.0610483 45.6321200, 5.0613475 45.6321706, 5.0616913 45.6321603)"
235833347,2439079741,2439079743,120.85849415474128,1,1,1,2,2,"LINESTRING(5.0601653 45.6330642, 5.0614652 45.6328889, 5.0616940 45.6328891)"
235834145,2439086847,2439086853,114.18329281231858,1,1,1,2,2,"LINESTRING(5.0529333 45.6321631, 5.0533510 45.6320448, 5.0536441 45.6318825, 5.0537998 45.6318421, 5.0542708 45.6317927)"
235834146,2439086856,4430749300,122.26789283416507,1,1,1,2,2,"LINESTRING(5.0517488 45.6316355, 5.0518976 45.6318391, 5.0519315 45.6320467, 5.0510679 45.6323149)"
235834146,4430749300,2439086862,36.65269701327638,1,1,1,2,2,"LINESTRING(5.0510679 45.6323149, 5.0506376 45.6324486)"
235834147,2439086863,2439086866,30.434827054551622,1,1,1,2,2,"LINESTRING(5.0502079 45.6332493, 5.0502095 45.6329759)"
235834147,2439086866,2439086869,88.71337456022768,1,1,1,2,2,"LINESTRING(5.0502095 45.6329759, 5.0498445 45.6327475, 5.0495911 45.6324218, 5.0495399 45.6323462)"
235834148,2439086871,2439086873,93.63448934172254,1,1,1,2,2,"LINESTRING(5.0492086 45.6333510, 5.0487864 45.6327613, 5.0486470 45.6326080)"
235834149,2439086875,4281963244,160.2824583562439,1,1,1,2,2,"LINESTRING(5.0516644 45.6316605, 5.0516451 45.6316342, 5.0511682 45.6310067, 5.0507671 45.6303657)"
235834149,4281963244,2439086877,21.689798829561898,1,1,1,2,2,"LINESTRING(5.0507671 45.6303657, 5.0506594 45.6301860)"
235834150,2439086877,2439086886,38.9953430590857,1,1,1,2,2,"LINESTRING(5.0506594 45.6301860, 5.0505674 45.6302114, 5.0504179 45.6302842, 5.0503127 45.6304192)"
235834150,2439086886,2439086888,48.91273050436176,1,1,1,2,2,"LINESTRING(5.0503127 45.6304192, 5.0502261 45.6308544)"
235834151,2439086888,2439086910,133.5731900395341,1,1,1,2,2,"LINESTRING(5.0502261 45.6308544, 5.0504441 45.6309053, 5.0510349 45.6318281, 5.0510513 45.6318538)"
235834152,471120339,1344429907,703.86780585775,1,1,1,2,2,"LINESTRING(5.0534344 45.6332421, 5.0534427 45.6332813, 5.0534515 45.6333231, 5.0532811 45.6335626, 5.0525580 45.6347836, 5.0523887 45.6349933, 5.0520118 45.6353483, 5.0504887 45.6365155, 5.0483964 45.6380860, 5.0484272 45.6382097, 5.0485258 45.6383045)"
235834153,2439086928,2439086930,117.42032893875621,1,1,1,2,2,"LINESTRING(5.0716786 45.6304730, 5.0702569 45.6308255)"
235834154,2439086932,1433558377,32.2091086763355,1,1,1,2,2,"LINESTRING(5.0697786 45.6336574, 5.0693875 45.6337519)"
235834422,2439088216,2439088218,65.2830754577176,1,1,1,2,2,"LINESTRING(5.0636242 45.6348388, 5.0636085 45.6343977, 5.0635151 45.6342680)"
235834423,2439088219,2439088220,62.06858133423597,1,1,1,2,2,"LINESTRING(5.0631470 45.6340104, 5.0624571 45.6342900)"
235834424,2439088221,4427411133,80.64864023941074,1,0,0,5,5,"LINESTRING(5.0643241 45.6348338, 5.0643774 45.6344649, 5.0643264 45.6342951, 5.0641260 45.6341818)"
235834424,4427411133,2439088236,61.21712888850019,1,0,0,5,5,"LINESTRING(5.0641260 45.6341818, 5.0640701 45.6341502, 5.0639277 45.6338912, 5.0638053 45.6338664, 5.0636855 45.6337630)"
235834425,2439079722,2439088224,28.4539510381779,1,1,1,2,2,"LINESTRING(5.0633610 45.6329207, 5.0635394 45.6331438)"
235834425,2439088224,2439088226,48.33852548337833,1,1,1,2,2,"LINESTRING(5.0635394 45.6331438, 5.0632162 45.6332627, 5.0629613 45.6332777)"
235834426,2439088224,2439088231,16.857716542792257,1,1,1,2,2,"LINESTRING(5.0635394 45.6331438, 5.0637553 45.6331557)"
235834426,2439088231,2439088228,54.52308001769851,1,1,1,2,2,"LINESTRING(5.0637553 45.6331557, 5.0643274 45.6328731)"
235834427,2439088229,2439088231,41.00646111069135,1,1,1,2,2,"LINESTRING(5.0639470 45.6334402, 5.0639393 45.6332520, 5.0639005 45.6331818, 5.0637553 45.6331557)"
235834428,2439088235,2439088232,29.392252111813413,1,0,0,5,5,"LINESTRING(5.0634778 45.6335586, 5.0631009 45.6335747)"
235834429,2439088224,2439088235,47.28240337873567,1,0,0,5,5,"LINESTRING(5.0635394 45.6331438, 5.0635295 45.6334974, 5.0634778 45.6335586)"
235834429,2439088235,2439088236,27.912397690504008,1,0,0,5,5,"LINESTRING(5.0634778 45.6335586, 5.0636855 45.6337630)"
235834429,2439088236,4427411134,65.07818212837901,1,0,0,5,5,"LINESTRING(5.0636855 45.6337630, 5.0636162 45.6338813, 5.0634778 45.6339512, 5.0633223 45.6340666, 5.0634646 45.6342152)"
